from_id,to_id,cost,line
1152,1652,19,徒歩
1153,1240,2,徒歩
1153,1241,13,徒歩
1153,1241,3,江ノ島電鉄線
1153,1264,10,徒歩
1153,1324,10,徒歩
1153,1443,12,徒歩
1153,1443,3,江ノ島電鉄線
1154,1549,17,徒歩
1154,1549,3,日暮里・舎人ライナー
1154,1756,13,徒歩
1154,1756,2,日暮里・舎人ライナー
1157,1627,4,東武野田線
1158,1268,19,徒歩
1158,1363,13,徒歩
1158,1475,19,徒歩
116,1586,6,秩父本線
116,1671,6,秩父本線
1161,1729,1,京王井の頭線
1161,1729,20,徒歩
1162,1503,6,東急池上線
1163,1230,5,東急田園都市線
1163,1729,18,徒歩
1164,1165,6,徒歩
1164,1166,7,徒歩
1164,1167,6,徒歩
1164,1168,8,徒歩
1164,1169,11,徒歩
1164,1323,19,徒歩
1164,1635,15,徒歩
1164,1683,18,徒歩
1164,1759,18,徒歩
1165,1166,4,徒歩
1165,1167,1,徒歩
1165,1168,3,徒歩
1165,1169,7,徒歩
1165,1323,4,JR山手線
1165,1608,10,JR湘南新宿ライン
1165,1635,19,徒歩
1166,1167,4,徒歩
1166,1168,4,徒歩
1166,1169,4,徒歩
1167,1168,2,徒歩
1167,1169,7,徒歩
1167,1635,19,徒歩
1168,1169,6,徒歩
1168,1635,20,徒歩
1169,1584,18,徒歩
117,1125,15,徒歩
117,1125,4,東急多摩川線
117,175,19,徒歩
117,1769,13,徒歩
117,1769,3,東急多摩川線
117,405,12,徒歩
1170,1619,3,JR青梅線
1171,1694,5,JR青梅線
1173,1640,2,西武新宿線
1174,1769,6,東急多摩川線
1175,1351,11,徒歩
1175,1351,3,多摩モノレール
1175,1401,12,徒歩
1175,1401,3,多摩モノレール
1176,1318,15,徒歩
1178,1235,3,JR根岸線
1179,1542,15,徒歩
1179,1542,4,東急目黒線
1179,1664,19,徒歩
118,1786,3,西武新宿線
118,212,17,徒歩
118,212,2,西武新宿線
1180,1347,13,徒歩
1180,1347,3,東急池上線
1180,1664,14,徒歩
1180,1664,4,東急池上線
1182,1248,20,徒歩
1183,1385,15,JR総武線快速
1183,1453,5,JR総武線快速
1185,1186,2,徒歩
1185,1187,5,つくばエクスプレス線
1186,1597,3,東武野田線
1189,1190,5,徒歩
1189,1191,8,徒歩
1189,1192,14,徒歩
1189,1291,12,徒歩
1189,1505,17,徒歩
1189,1506,11,徒歩
119,1161,12,徒歩
119,120,2,徒歩
119,142,1,小田急小田原線
119,142,13,徒歩
119,798,12,徒歩
119,966,14,徒歩
119,966,2,小田急小田原線
