id,name,category,latitude,longitude,line
122,下曽我,鶏料理・焼き鳥,35.303552,139.18342,JR御殿場線
123,下板橋,甘味処,35.745068,139.715615,東武東上本線
124,下永谷,パスタ・ピザ,35.402757,139.559043,横浜市ブルーライン
125,下溝,そば・うどん,35.518318,139.380514,JR相模線
126,下神明,沖縄料理,35.608709,139.726314,東急大井町線
127,下総中山,イタリアン,35.714281,139.943069,JR総武線
128,下総松崎,懐石料理・精進料理,35.807776,140.27755,JR成田線我孫子支線
129,下総橘,フレンチ,35.818787,140.702154,JR成田線
130,下総神崎,フレンチ,35.894849,140.410669,JR成田線
131,下総豊里,ハンバーガー,35.793005,140.720893,JR成田線
132,下落合,韓国料理,35.715694,139.69529,西武新宿線
133,下赤塚,パスタ・ピザ,35.770482,139.644854,東武東上本線
134,下郡,てんぷら,35.354991,140.05541,JR久留里線
135,下飯田,うなぎ,35.403377,139.482883,横浜市ブルーライン
136,下高井戸,スペイン料理,35.665855,139.641559,東急世田谷線
137,下高井戸,てんぷら,35.666116,139.642025,京王線
138,不動前,天ぷら,35.625421,139.713149,東急目黒線
139,与野,日本料理,35.884377,139.63899,JR京浜東北線
140,与野本町,フレンチ,35.880921,139.626004,JR埼京線
141,世田谷,うなぎ,35.643493,139.650837,東急世田谷線
142,世田谷代田,洋食,35.658356,139.6616,小田急小田原線
143,両国,無国籍料理,35.695759,139.793349,JR総武線
144,両国,串焼き・串揚げ,35.696817,139.797425,都営大江戸線
145,並木中央,寿司,35.365453,139.642982,横浜新都市交通
146,並木北,無国籍料理,35.372017,139.64273,横浜新都市交通
147,中井,魚介・海鮮・ふぐ・すっぽん,35.713864,139.686312,都営大江戸線
148,中井,とんかつ,35.71507,139.686642,西武新宿線
149,中央大学・明星大学,串焼き・串揚げ,35.641881,139.408728,多摩モノレール
150,中央林間,懐石料理・精進料理,35.507811,139.445117,東急田園都市線
151,中央林間,パスタ・ピザ,35.508005,139.444102,小田急江ノ島線
152,中学校,しゃぶしゃぶ,35.740124,140.148457,山万ユーカリが丘線
153,中山,洋食,35.514679,139.539388,JR横浜線/グリーンライン
154,中川,とんかつ,35.563086,139.56968,横浜市ブルーライン
155,中延,串焼き・串揚げ,35.605173,139.71359,都営浅草線
156,中延,スイーツ,35.605716,139.71255,東急大井町線
157,中強羅,ラーメン,35.248075,139.04032,箱根登山鉄道鋼索線
158,中村橋,甘味処,35.736667,139.637174,西武池袋線
159,中板橋,焼肉,35.756279,139.694385,東武東上本線
160,中河原,串焼き・串揚げ,35.6595,139.457504,京王線
161,中浦和,ステーキ・ハンバーグ,35.853912,139.637303,JR埼京線
162,中田,牛丼・定食・丼もの,35.41115,139.511221,横浜市ブルーライン
163,中目黒,もつ鍋・ホルモン,35.644186,139.698928,東京メトロ日比谷線/東急東横線
164,中神,甘味処,35.709002,139.375709,JR青梅線
165,中野,焼肉,35.705738,139.665605,東京メトロ東西線
166,中野,うなぎ,35.705755,139.665833,JR中央線/JR総武線
167,中野坂上,天ぷら,35.697083,139.682205,東京メトロ丸ノ内分岐線/東京メトロ丸ノ内線
168,中野坂上,パスタ・ピザ,35.697877,139.682961,都営大江戸線
169,中野富士見町,しゃぶしゃぶ,35.690817,139.668157,東京メトロ丸ノ内分岐線
170,中野島,中華料理・飲茶・点心・餃子,35.630018,139.551076,JR南武線
171,中野新橋,おでん,35.691697,139.674004,東京メトロ丸ノ内分岐線
172,丸山,うなぎ,35.979599,139.62454,埼玉新都市交通伊奈線
173,丹荘,中華料理・飲茶・点心・餃子,36.216466,139.102586,JR八高線
174,乃木坂,沖縄料理,35.66659,139.726212,東京メトロ千代田線
175,久が原,フレンチ,35.579457,139.685667,東急池上線
176,久住,鶏料理・焼き鳥,35.832181,140.338866,JR成田線
177,久喜,スイーツ,36.065548,139.677611,東武伊勢崎線
178,久喜,和食,36.06581,139.677373,JR宇都宮線
179,久地,てんぷら,35.610107,139.593073,JR南武線
180,久我原,ハンバーガー,35.250217,140.247664,いすみ鉄道
181,久我山,パスタ・ピザ,35.688139,139.599324,京王井の頭線
182,久留里,スイーツ,35.295795,140.075608,JR久留里線
183,久米川,もつ鍋・ホルモン,35.749525,139.472693,西武新宿線
184,久里浜,洋食,35.233065,139.70096,JR横須賀線
185,九品仏,韓国料理,35.605375,139.66101,東急大井町線
186,九段下,甘味処,35.695521,139.751209,東京メトロ半蔵門線/都営新宿線
187,九段下,無国籍料理,35.696085,139.751264,東京メトロ東西線
188,九重,魚介・海鮮・ふぐ・すっぽん,34.997513,139.911397,JR内房線
189,亀戸,すき焼き,35.697331,139.826332,JR総武線
190,亀戸,お好み焼き・もんじゃ焼き,35.697733,139.8272,東武亀戸線
191,亀戸水神,かに・えび,35.699945,139.833388,東武亀戸線
192,亀有,寿司,35.766541,139.84756,JR常磐線各駅停車
193,二俣尾,タイ・ベトナム料理,35.803945,139.216146,JR青梅線
194,二俣川,寿司,35.463392,139.532368,相模鉄道いずみ野線/相模鉄道本線
195,二俣新町,牛丼・定食・丼もの,35.691321,139.95955,JR京葉線
196,二和向台,天ぷら,35.753887,140.023729,新京成電鉄線
197,二子新地,そば・うどん,35.607272,139.622681,東急田園都市線
198,二子玉川,串焼き・串揚げ,35.611515,139.626494,東急大井町線/東急田園都市線
199,二宮,和食,35.298665,139.256747,JR東海道本線
200,二重橋前,うなぎ,35.6805,139.76178,東京メトロ千代田線
201,五井,うなぎ,35.513117,140.089744,JR内房線/小湊鉄道
202,五反田,スイーツ,35.625069,139.724069,東急池上線
203,五反田,ハンバーガー,35.625805,139.723909,JR山手線
204,五反田,洋食,35.627111,139.724181,都営浅草線
205,五反野,おでん,35.765904,139.80963,東武伊勢崎線
206,五月台,中華料理・飲茶・点心・餃子,35.600229,139.493389,小田急多摩線
207,五百羅漢,おでん,35.275168,139.155559,伊豆箱根鉄道大雄山線
208,五香,もつ鍋・ホルモン,35.797283,139.965768,新京成電鉄線
209,井の頭公園,スペイン料理,35.697294,139.583118,京王井の頭線
210,井土ヶ谷,串焼き・串揚げ,35.433872,139.600525,京浜急行本線
211,井細田,寿司,35.268971,139.157393,伊豆箱根鉄道大雄山線
212,井荻,とんかつ,35.724664,139.615547,西武新宿線
213,井野,スイーツ,35.7329,140.148547,山万ユーカリが丘線
214,京急久里浜,ラーメン,35.231469,139.702217,京浜急行久里浜線
215,京急大津,もつ鍋・ホルモン,35.261005,139.69537,京浜急行本線
216,京急富岡,お好み焼き・もんじゃ焼き,35.366711,139.62976,京浜急行本線
217,京急川崎,スペイン料理,35.533012,139.700939,京浜急行大師線/京浜急行本線
218,京急新子安,すき焼き,35.487217,139.65585,京浜急行本線
